x	y	z	magnitude	phase
0.250000	0.000000	0.000000	1.000000	0.000000
0.241481	0.064705	0.000000	1.000000	0.032725
0.216506	0.125000	0.000000	1.000000	0.065450
0.176777	0.176777	0.000000	1.000000	0.098175
0.125000	0.216506	0.000000	1.000000	0.130900
0.064705	0.241481	0.000000	1.000000	0.163625
0.000000	0.250000	0.000000	1.000000	0.196350
-0.064705	0.241481	0.000000	1.000000	0.229074
-0.125000	0.216506	0.000000	1.000000	0.261799
-0.176777	0.176777	0.000000	1.000000	0.294524
-0.216506	0.125000	0.000000	1.000000	0.327249
-0.241481	0.064705	0.000000	1.000000	0.359974
-0.250000	0.000000	0.000000	1.000000	0.392699
-0.241481	-0.064705	0.000000	1.000000	0.425424
-0.216506	-0.125000	0.000000	1.000000	0.458149
-0.176777	-0.176777	0.000000	1.000000	0.490874
-0.125000	-0.216506	0.000000	1.000000	0.523599
-0.064705	-0.241481	0.000000	1.000000	0.556324
-0.000000	-0.250000	0.000000	1.000000	0.589049
0.064705	-0.241481	0.000000	1.000000	0.621774
0.125000	-0.216506	0.000000	1.000000	0.654498
0.176777	-0.176777	0.000000	1.000000	0.687223
0.216506	-0.125000	0.000000	1.000000	0.719948
0.241481	-0.064705	0.000000	1.000000	0.752673
