x	y	z	magnitude	phase style
0.250000	0.000000	0.000000	1.000000	0.000000 planewave
0.241481	0.064705	0.000000	1.000000	0.032725 planewave
0.216506	0.125000	0.000000	1.000000	0.065450 planewave
0.176777	0.176777	0.000000	1.000000	0.098175 linesource
0.125000	0.216506	0.000000	1.000000	0.130900 planewave
0.064705	0.241481	0.000000	1.000000	0.163625 planewave
0.000000	0.250000	0.000000	1.000000	0.196350 planewave
-0.064705	0.241481	0.000000	1.000000	0.229074 planewave
-0.125000	0.216506	0.000000	1.000000	0.261799 planewave
-0.176777	0.176777	0.000000	1.000000	0.294524 planewave
-0.216506	0.125000	0.000000	1.000000	0.327249 planewave
-0.241481	0.064705	0.000000	1.000000	0.359974 planewave
-0.250000	0.000000	0.000000	1.000000	0.392699 planewave
-0.241481	-0.064705	0.000000	1.000000	0.425424 planewave
-0.216506	-0.125000	0.000000	1.000000	0.458149 planewave
-0.176777	-0.176777	0.000000	1.000000	0.490874 planewave
-0.125000	-0.216506	0.000000	1.000000	0.523599 planewave
-0.064705	-0.241481	0.000000	1.000000	0.556324 planewave
-0.000000	-0.250000	0.000000	1.000000	0.589049 planewave
0.064705	-0.241481	0.000000	1.000000	0.621774 planewave
0.125000	-0.216506	0.000000	1.000000	0.654498 planewave
0.176777	-0.176777	0.000000	1.000000	0.687223 planewave
0.216506	-0.125000	0.000000	1.000000	0.719948 planewave
0.241481	-0.064705	0.000000	1.000000	0.752673 planewave
