x   y   z
0.3000         0         0
0.2994    0.0188         0
0.2976    0.0376         0
0.2947    0.0562         0
0.2906    0.0746         0
0.2853    0.0927         0
0.2789    0.1104         0
0.2714    0.1277         0
0.2629    0.1445         0
0.2533    0.1607         0
0.2427    0.1763         0
0.2312    0.1912         0
0.2187    0.2054         0
0.2054    0.2187         0
0.1912    0.2312         0
0.1763    0.2427         0
0.1607    0.2533         0
0.1445    0.2629         0
0.1277    0.2714         0
0.1104    0.2789         0
0.0927    0.2853         0
0.0746    0.2906         0
0.0562    0.2947         0
0.0376    0.2976         0
0.0188    0.2994         0
0.0000    0.3000         0
-0.0188    0.2994         0
-0.0376    0.2976         0
-0.0562    0.2947         0
-0.0746    0.2906         0
-0.0927    0.2853         0
-0.1104    0.2789         0
-0.1277    0.2714         0
-0.1445    0.2629         0
-0.1607    0.2533         0
-0.1763    0.2427         0
-0.1912    0.2312         0
-0.2054    0.2187         0
-0.2187    0.2054         0
-0.2312    0.1912         0
-0.2427    0.1763         0
-0.2533    0.1607         0
-0.2629    0.1445         0
-0.2714    0.1277         0
-0.2789    0.1104         0
-0.2853    0.0927         0
-0.2906    0.0746         0
-0.2947    0.0562         0
-0.2976    0.0376         0
-0.2994    0.0188         0
-0.3000    0.0000         0
-0.2994   -0.0188         0
-0.2976   -0.0376         0
-0.2947   -0.0562         0
-0.2906   -0.0746         0
-0.2853   -0.0927         0
-0.2789   -0.1104         0
-0.2714   -0.1277         0
-0.2629   -0.1445         0
-0.2533   -0.1607         0
-0.2427   -0.1763         0
-0.2312   -0.1912         0
-0.2187   -0.2054         0
-0.2054   -0.2187         0
-0.1912   -0.2312         0
-0.1763   -0.2427         0
-0.1607   -0.2533         0
-0.1445   -0.2629         0
-0.1277   -0.2714         0
-0.1104   -0.2789         0
-0.0927   -0.2853         0
-0.0746   -0.2906         0
-0.0562   -0.2947         0
-0.0376   -0.2976         0
-0.0188   -0.2994         0
-0.0000   -0.3000         0
0.0188   -0.2994         0
0.0376   -0.2976         0
0.0562   -0.2947         0
0.0746   -0.2906         0
0.0927   -0.2853         0
0.1104   -0.2789         0
0.1277   -0.2714         0
0.1445   -0.2629         0
0.1607   -0.2533         0
0.1763   -0.2427         0
0.1912   -0.2312         0
0.2054   -0.2187         0
0.2187   -0.2054         0
0.2312   -0.1912         0
0.2427   -0.1763         0
0.2533   -0.1607         0
0.2629   -0.1445         0
0.2714   -0.1277         0
0.2789   -0.1104         0
0.2853   -0.0927         0
0.2906   -0.0746         0
0.2947   -0.0562         0
0.2976   -0.0376         0
0.2994   -0.0188         0
