92
(-3.04841,3.46856)
(-4.24768,1.36167)
(1.90085,0.845058)
(3.7941,2.85743)
(-9.6563,-3.15522)
(4.00834,6.8874)
(-1.00733,7.05328)
(-5.46947,12.6878)
(0.786277,2.63748)
(9.85364,9.5141)
(-13.6027,1.87988)
(1.3884,0.588844)
(0.470253,2.90343)
(0.766841,2.77799)
(-1.51584,-0.941756)
(195.861,-309.245)
(353.559,4.66335)
(-434.86,62.8734)
(100.13,-599.666)
(185.677,248.278)
(-72.2415,-210.764)
(-504.616,60.735)
(228.779,-370.945)
(3.2054,1.80128)
(4.09742,4.37909)
(0.436537,0.225861)
(1.5922,1.11155)
(-240.486,-263.043)
(-1937.12,-673.439)
(1622.24,-87.8058)
(515.531,93.2588)
(2107.4,-388.313)
(344.507,37.2709)
(-566.047,-332.129)
(-1746.42,-951.05)
(102.094,31.1246)
(-153.755,280.253)
(-41.0763,206.386)
(-85.0086,629.995)
(-35.3571,-28.8922)
(-203.748,-35.0127)
(180.279,13.5389)
(57.7809,32.8379)
(43.1,-16.0071)
(274.186,-36.5296)
(-207.307,-105.085)
(-57.2657,-60.0833)
(-0.127776,0.776206)
(-7.00696,-15.1916)
(7.15679,20.267)
(1.49267,-0.192838)
(1.97456,0.582475)
(1.97164,1.62715)
(1.15951,1.21256)
(-461.127,453.189)
(-133.676,-730.923)
(240.019,330.609)
(605.517,-498.777)
(-353.197,795.312)
(-485.196,-338.776)
(-174.005,681.002)
(604.069,-282.042)
(-0.415635,0.0899883)
(951.128,1495.47)
(412.533,496.894)
(-259.431,215.575)
(-1421.81,1145.37)
(-113.629,59.0999)
(120.685,108.153)
(-49.0607,-18.0915)
(24.3063,7.48902)
(35.1333,66.9137)
(-29.1613,1.65716)
(-131.561,128.541)
(92.1132,151.326)
(-908.36,737.997)
(122.713,575.733)
(990.243,1144.13)
(-425.52,353.695)
(5.1752,-0.922)
(2.01973,1.42198)
(-2.49145,5.5374)
(-0.970348,1.41014)
(14.0752,-110.103)
(104.424,-119.966)
(-23.9779,-69.075)
(-49.0083,-137.032)
(-1.05011,-1.4538)
(-106.566,-876.007)
(793.873,-1184.73)
(42.0715,-901.841)
(-271.647,-1390.85)
