x	y	z	magnitude	phase	style
0.149890	0.000000	0.000000	1.000000	0.000000	linesource
0.149069	0.015668	0.000000	1.000000	0.000000	linesource
0.146615	0.031164	0.000000	1.000000	0.000000	linesource
0.142554	0.046319	0.000000	1.000000	0.000000	linesource
0.136931	0.060966	0.000000	1.000000	0.000000	linesource
0.129809	0.074945	0.000000	1.000000	0.000000	linesource
0.121264	0.088103	0.000000	1.000000	0.000000	linesource
0.111390	0.100296	0.000000	1.000000	0.000000	linesource
0.100296	0.111390	0.000000	1.000000	0.000000	linesource
0.088103	0.121264	0.000000	1.000000	0.000000	linesource
0.074945	0.129809	0.000000	1.000000	0.000000	linesource
0.060966	0.136931	0.000000	1.000000	0.000000	linesource
0.046319	0.142554	0.000000	1.000000	0.000000	linesource
0.031164	0.146615	0.000000	1.000000	0.000000	linesource
0.015668	0.149069	0.000000	1.000000	0.000000	linesource
0.000000	0.149890	0.000000	1.000000	0.000000	linesource
-0.015668	0.149069	0.000000	1.000000	0.000000	linesource
-0.031164	0.146615	0.000000	1.000000	0.000000	linesource
-0.046319	0.142554	0.000000	1.000000	0.000000	linesource
-0.060966	0.136931	0.000000	1.000000	0.000000	linesource
-0.074945	0.129809	0.000000	1.000000	0.000000	linesource
-0.088103	0.121264	0.000000	1.000000	0.000000	linesource
-0.100296	0.111390	0.000000	1.000000	0.000000	linesource
-0.111390	0.100296	0.000000	1.000000	0.000000	linesource
-0.121264	0.088103	0.000000	1.000000	0.000000	linesource
-0.129809	0.074945	0.000000	1.000000	0.000000	linesource
-0.136931	0.060966	0.000000	1.000000	0.000000	linesource
-0.142554	0.046319	0.000000	1.000000	0.000000	linesource
-0.146615	0.031164	0.000000	1.000000	0.000000	linesource
-0.149069	0.015668	0.000000	1.000000	0.000000	linesource
-0.149890	0.000000	0.000000	1.000000	0.000000	linesource
-0.149069	-0.015668	0.000000	1.000000	0.000000	linesource
-0.146615	-0.031164	0.000000	1.000000	0.000000	linesource
-0.142554	-0.046319	0.000000	1.000000	0.000000	linesource
-0.136931	-0.060966	0.000000	1.000000	0.000000	linesource
-0.129809	-0.074945	0.000000	1.000000	0.000000	linesource
-0.121264	-0.088103	0.000000	1.000000	0.000000	linesource
-0.111390	-0.100296	0.000000	1.000000	0.000000	linesource
-0.100296	-0.111390	0.000000	1.000000	0.000000	linesource
-0.088103	-0.121264	0.000000	1.000000	0.000000	linesource
-0.074945	-0.129809	0.000000	1.000000	0.000000	linesource
-0.060966	-0.136931	0.000000	1.000000	0.000000	linesource
-0.046319	-0.142554	0.000000	1.000000	0.000000	linesource
-0.031164	-0.146615	0.000000	1.000000	0.000000	linesource
-0.015668	-0.149069	0.000000	1.000000	0.000000	linesource
-0.000000	-0.149890	0.000000	1.000000	0.000000	linesource
0.015668	-0.149069	0.000000	1.000000	0.000000	linesource
0.031164	-0.146615	0.000000	1.000000	0.000000	linesource
0.046319	-0.142554	0.000000	1.000000	0.000000	linesource
0.060966	-0.136931	0.000000	1.000000	0.000000	linesource
0.074945	-0.129809	0.000000	1.000000	0.000000	linesource
0.088103	-0.121264	0.000000	1.000000	0.000000	linesource
0.100296	-0.111390	0.000000	1.000000	0.000000	linesource
0.111390	-0.100296	0.000000	1.000000	0.000000	linesource
0.121264	-0.088103	0.000000	1.000000	0.000000	linesource
0.129809	-0.074945	0.000000	1.000000	0.000000	linesource
0.136931	-0.060966	0.000000	1.000000	0.000000	linesource
0.142554	-0.046319	0.000000	1.000000	0.000000	linesource
0.146615	-0.031164	0.000000	1.000000	0.000000	linesource
0.149069	-0.015668	0.000000	1.000000	0.000000	linesource
