x	y	z	magnitude	phase	style
0.149895	0.000000	0.000000	1.000000	0.000000	planewave
0.121268	0.088106	0.000000	1.000000	0.000000	planewave
0.046320	0.142559	0.000000	1.000000	0.000000	planewave
-0.046320	0.142559	0.000000	1.000000	0.000000	planewave
-0.121268	0.088106	0.000000	1.000000	0.000000	planewave
-0.149895	0.000000	0.000000	1.000000	0.000000	planewave
-0.121268	-0.088106	0.000000	1.000000	0.000000	planewave
-0.046320	-0.142559	0.000000	1.000000	0.000000	planewave
0.046320	-0.142559	0.000000	1.000000	0.000000	planewave
0.121268	-0.088106	0.000000	1.000000	0.000000	planewave
