24	24
(3774.66,4.52763e-15)	(2201.77,-0.222908)	(-91.591,-0.135262)	(-431.641,-0.000274288)	(155.966,-2.75437)	(196.737,-3.66027)	(-79.6599,-0.576124)	(-150.374,2.00973)	(-40.1772,2.2446)	(66.1577,-0.237918)	(110.791,-1.36338)	(117.506,0.259404)	(113.875,0.844019)	(112.155,-0.0651495)	(107.473,0.434193)	(68.8627,2.16535)	(-36.4003,2.67434)	(-149.999,1.2281)	(-83.0507,-2.41918)	(193.592,-4.48311)	(155.527,-1.43997)	(-431.317,1.13372)	(-91.6846,0.231167)	(2201.69,-0.0398188)
(2201.77,0.222908)	(3774.67,-1.32533e-14)	(2202.04,-0.253312)	(-91.2953,-0.387081)	(-431.328,-1.03124)	(157.665,-1.31275)	(197.312,1.74803)	(-86.3027,2.65806)	(-160.64,-1.12283)	(-43.6259,-3.52221)	(69.686,-1.37236)	(111.98,0.998977)	(111.243,1.26802)	(106.136,0.867572)	(111.646,1.38713)	(111.621,3.05177)	(71.1763,4.46042)	(-36.9232,2.5005)	(-154.486,-0.341771)	(-87.2804,-2.23458)	(195.275,-1.93565)	(160.187,0.688314)	(-429.014,0.653104)	(-91.477,0.0698671)
(-91.591,0.135262)	(2202.04,0.253312)	(3774.69,-2.88658e-15)	(2202.22,-0.166029)	(-91.0577,-0.129207)	(-430.933,-0.663817)	(157.031,0.625306)	(192.49,1.23359)	(-91.9914,-2.44818)	(-161.289,-3.43607)	(-43.4444,-0.149226)	(65.1118,2.47566)	(105.11,2.44283)	(110.495,1.24813)	(112.032,1.02327)	(116.25,2.69482)	(112.719,2.31116)	(69.3893,-1.16686)	(-40.952,-1.6929)	(-156.953,-0.846111)	(-85.9287,-1.21751)	(199.167,-0.26038)	(161.985,-0.074177)	(-429.77,-0.821087)
(-431.641,0.000274288)	(-91.2953,0.387081)	(2202.22,0.166029)	(3774.7,5.27356e-16)	(2202.13,0.271368)	(-91.2834,-0.107633)	(-430.586,-1.38834)	(157.531,-1.68309)	(192.479,-3.14217)	(-91.8728,-3.93219)	(-161.337,-0.354851)	(-44.1731,3.49222)	(66.9737,3.46966)	(112.479,1.51985)	(117.823,0.777829)	(114.767,0.879973)	(115.827,-2.25972)	(111.602,-5.67696)	(71.0772,-5.1558)	(-38.3128,-3.06576)	(-156.462,-1.21947)	(-85.47,0.112777)	(197.832,1.01136)	(158.058,0.466796)
(155.966,2.75437)	(-431.328,1.03124)	(-91.0577,0.129207)	(2202.13,-0.271368)	(3774.68,-1.51615e-15)	(2201.94,0.171022)	(-90.9609,-0.265213)	(-429.043,-0.935129)	(158.17,-2.18189)	(192.38,-5.31395)	(-88.8029,-3.73723)	(-154.762,1.9356)	(-36.2212,3.59348)	(73.1449,1.3503)	(113.56,-0.0310323)	(115.528,-1.6069)	(113.216,-5.50423)	(118.453,-7.47642)	(117.603,-6.22072)	(73.9242,-2.34885)	(-38.9596,1.07014)	(-156.335,0.627783)	(-86.0116,1.03835)	(194.701,3.36604)
(196.737,3.66027)	(157.665,1.31275)	(-430.933,0.663817)	(-91.2834,0.107633)	(2201.94,-0.171022)	(3774.66,6.15653e-15)	(2201.87,0.118643)	(-90.6311,0.407306)	(-429.619,0.816536)	(156.865,-2.44486)	(194.968,-4.86229)	(-82.5834,-0.410961)	(-150.954,2.20486)	(-38.3285,-0.197759)	(67.6638,-2.31821)	(110.834,-4.84982)	(118.514,-7.201)	(119.045,-6.24922)	(121.902,-2.4914)	(116.804,2.93722)	(72.096,4.69052)	(-39.7756,1.51408)	(-154.904,-0.440263)	(-83.5752,2.3952)
(-79.6599,0.576124)	(197.312,-1.74803)	(157.031,-0.625306)	(-430.586,1.38834)	(-90.9609,0.265213)	(2201.87,-0.118643)	(3774.66,-4.38365e-15)	(2201.89,0.0529617)	(-91.1775,0.974052)	(-431.348,0.893027)	(156.661,-1.79691)	(196.14,-0.561837)	(-84.9444,1.4451)	(-158.079,-1.5348)	(-43.7012,-5.14634)	(70.7643,-6.69439)	(118.129,-5.22901)	(122.033,-1.79858)	(118.154,2.92809)	(118.977,6.63368)	(112.835,5.98189)	(69.1657,2.34631)	(-37.5806,-1.41011)	(-149.331,-0.734122)
(-150.374,-2.00973)	(-86.3027,-2.65806)	(192.49,-1.23359)	(157.531,1.68309)	(-429.043,0.935129)	(-90.6311,-0.407306)	(2201.89,-0.0529617)	(3774.67,3.8719e-15)	(2201.91,0.094932)	(-91.8788,0.66286)	(-432.289,-0.271269)	(156.076,-0.752275)	(193.772,1.33578)	(-89.1713,-0.185342)	(-157.729,-3.94358)	(-35.9972,-3.84255)	(76.4732,-1.02294)	(117.942,2.42754)	(119.264,6.16004)	(113.86,6.62313)	(114.757,4.09994)	(111.767,0.232456)	(71.5981,-3.69102)	(-34.4997,-3.53393)
(-40.1772,-2.2446)	(-160.64,1.12283)	(-91.9914,2.44818)	(192.479,3.14217)	(158.17,2.18189)	(-429.619,-0.816536)	(-91.1775,-0.974052)	(2201.91,-0.094932)	(3774.67,8.50015e-15)	(2201.87,-0.022377)	(-92.2024,-0.141372)	(-432.298,-1.97194)	(156.577,-1.57226)	(194.876,0.263559)	(-85.1387,-0.405033)	(-152.016,-0.369705)	(-34.6603,1.6387)	(73.3597,5.06037)	(112.451,6.12381)	(114.406,3.32705)	(112.844,0.180363)	(116.452,-2.61832)	(112.971,-4.61043)	(71.3378,-4.49805)
(66.1577,0.237918)	(-43.6259,3.52221)	(-161.289,3.43607)	(-91.8728,3.93219)	(192.38,5.31395)	(156.865,2.44486)	(-431.348,-0.893027)	(-91.8788,-0.66286)	(2201.87,0.022377)	(3774.69,-1.44329e-15)	(2201.84,0.120418)	(-91.8408,-0.969957)	(-430.454,-2.88509)	(159.643,-1.4873)	(197.956,0.133638)	(-83.7971,-0.0385723)	(-154.669,2.07453)	(-41.3548,4.9515)	(66.9175,3.53433)	(111.163,0.173224)	(117.341,-1.68746)	(114.747,-2.54416)	(114.968,-3.15112)	(109.472,-2.9228)
(110.791,1.36338)	(69.686,1.37236)	(-43.4444,0.149226)	(-161.337,0.354851)	(-88.8029,3.73723)	(194.968,4.86229)	(156.661,1.79691)	(-432.289,0.271269)	(-92.2024,0.141372)	(2201.84,-0.120418)	(3774.68,1.06512e-14)	(2201.89,-0.0673671)	(-90.8482,-0.840035)	(-428.409,-0.617722)	(160.635,0.867988)	(196.855,-0.461963)	(-87.1318,-0.441593)	(-158.486,1.9162)	(-40.8837,1.30802)	(71.8551,-1.30012)	(115.354,-2.52089)	(115.524,-2.33841)	(108.431,-1.70855)	(110.669,-0.293805)
