x	y	z
0.110000	0.000000	0.000000
0.108646	0.017208	0.000000
0.104616	0.033992	0.000000
0.098011	0.049939	0.000000
0.088992	0.064656	0.000000
0.077782	0.077782	0.000000
0.064656	0.088992	0.000000
0.049939	0.098011	0.000000
0.033992	0.104616	0.000000
0.017208	0.108646	0.000000
0.000000	0.110000	0.000000
-0.017208	0.108646	0.000000
-0.033992	0.104616	0.000000
-0.049939	0.098011	0.000000
-0.064656	0.088992	0.000000
-0.077782	0.077782	0.000000
-0.088992	0.064656	0.000000
-0.098011	0.049939	0.000000
-0.104616	0.033992	0.000000
-0.108646	0.017208	0.000000
-0.110000	0.000000	0.000000
-0.108646	-0.017208	0.000000
-0.104616	-0.033992	0.000000
-0.098011	-0.049939	0.000000
-0.088992	-0.064656	0.000000
-0.077782	-0.077782	0.000000
-0.064656	-0.088992	0.000000
-0.049939	-0.098011	0.000000
-0.033992	-0.104616	0.000000
-0.017208	-0.108646	0.000000
-0.000000	-0.110000	0.000000
0.017208	-0.108646	0.000000
0.033992	-0.104616	0.000000
0.049939	-0.098011	0.000000
0.064656	-0.088992	0.000000
0.077782	-0.077782	0.000000
0.088992	-0.064656	0.000000
0.098011	-0.049939	0.000000
0.104616	-0.033992	0.000000
0.108646	-0.017208	0.000000
