x	y	z
0.149895	0.000000	0.000000
0.144787	0.038796	0.000000
0.129813	0.074947	0.000000
0.105992	0.105992	0.000000
0.074948	0.129813	0.000000
0.038796	0.144787	0.000000
0.000000	0.149895	0.000000
-0.038796	0.144787	0.000000
-0.074947	0.129813	0.000000
-0.105992	0.105992	0.000000
-0.129813	0.074947	0.000000
-0.144787	0.038796	0.000000
-0.149895	0.000000	0.000000
-0.144787	-0.038796	0.000000
-0.129813	-0.074947	0.000000
-0.105992	-0.105992	0.000000
-0.074948	-0.129813	0.000000
-0.038796	-0.144787	0.000000
-0.000000	-0.149895	0.000000
0.038796	-0.144787	0.000000
0.074948	-0.129813	0.000000
0.105992	-0.105992	0.000000
0.129813	-0.074948	0.000000
0.144787	-0.038796	0.000000
