x	y	z
0.149895	0.000000	0.000000
0.148050	0.023449	0.000000
0.142559	0.046320	0.000000
0.133557	0.068051	0.000000
0.121268	0.088106	0.000000
0.105992	0.105992	0.000000
0.088106	0.121268	0.000000
0.068051	0.133557	0.000000
0.046320	0.142559	0.000000
0.023449	0.148050	0.000000
0.000000	0.149895	0.000000
-0.023449	0.148050	0.000000
-0.046320	0.142559	0.000000
-0.068051	0.133557	0.000000
-0.088106	0.121268	0.000000
-0.105992	0.105992	0.000000
-0.121268	0.088106	0.000000
-0.133557	0.068051	0.000000
-0.142559	0.046320	0.000000
-0.148050	0.023449	0.000000
-0.149895	0.000000	0.000000
-0.148050	-0.023449	0.000000
-0.142559	-0.046320	0.000000
-0.133557	-0.068051	0.000000
-0.121268	-0.088106	0.000000
-0.105992	-0.105992	0.000000
-0.088106	-0.121268	0.000000
-0.068051	-0.133557	0.000000
-0.046320	-0.142559	0.000000
-0.023449	-0.148050	0.000000
-0.000000	-0.149895	0.000000
0.023449	-0.148050	0.000000
0.046320	-0.142559	0.000000
0.068051	-0.133557	0.000000
0.088106	-0.121268	0.000000
0.105992	-0.105992	0.000000
0.121268	-0.088106	0.000000
0.133557	-0.068051	0.000000
0.142559	-0.046320	0.000000
0.148050	-0.023449	0.000000
