181	3
0	0	0
0.072	0	0
4.40873e-18	0.072	0
-0.072	8.81746e-18	0
-1.32262e-17	-0.072	0
0.0711136	0.0112633	0
0.0684761	0.0222492	0
0.0641525	0.0326873	0
0.0582492	0.0423205	0
0.0509117	0.0509117	0
0.0423205	0.0582492	0
0.0326873	0.0641525	0
0.0222492	0.0684761	0
0.0112633	0.0711136	0
-0.0112633	0.0711136	0
-0.0222492	0.0684761	0
-0.0326873	0.0641525	0
-0.0423205	0.0582492	0
-0.0509117	0.0509117	0
-0.0582492	0.0423205	0
-0.0641525	0.0326873	0
-0.0684761	0.0222492	0
-0.0711136	0.0112633	0
-0.0711136	-0.0112633	0
-0.0684761	-0.0222492	0
-0.0641525	-0.0326873	0
-0.0582492	-0.0423205	0
-0.0509117	-0.0509117	0
-0.0423205	-0.0582492	0
-0.0326873	-0.0641525	0
-0.0222492	-0.0684761	0
-0.0112633	-0.0711136	0
0.0112633	-0.0711136	0
0.0222492	-0.0684761	0
0.0326873	-0.0641525	0
0.0423205	-0.0582492	0
0.0509117	-0.0509117	0
0.0582492	-0.0423205	0
0.0641525	-0.0326873	0
0.0684761	-0.0222492	0
0.0711136	-0.0112633	0
-0.00051507	-0.00213955	0
-0.0384675	0.00302746	0
0.00176951	0.0372613	0
-0.00408122	-0.0370793	0
0.0364681	-0.0032036	0
0.0319002	0.0272454	0
0.0272454	-0.0319002	0
-0.0319002	-0.0272454	0
-0.0272454	0.0319002	0
-0.0196271	0.0135024	0
-0.0217415	-0.00976233	0
0.0129894	0.0170892	0
0.0102343	-0.0196543	0
-0.0471764	0.0215057	0
0.0199246	0.0455354	0
-0.0214459	-0.0476116	0
0.0465578	-0.0214771	0
-0.0504551	-0.0137069	0
0.0125451	-0.0481056	0
-0.0137248	0.050392	0
0.0491671	0.0137683	0
-0.0541156	0.00425899	0
0.00425899	0.0541156	0
-0.00425899	-0.0541156	0
0.0541156	-0.00425899	0
0.0183931	-0.00210602	0
-0.00560795	-0.019694	0
-0.00239114	0.0205075	0
0.0289223	0.011069	0
-0.0424307	0.0374191	0
0.0374191	0.0424307	0
-0.0374191	-0.0424307	0
0.0427755	-0.0375276	0
-0.0478421	-0.0302895	0
-0.0302895	0.0478421	0
0.0302895	-0.0478421	0
0.0480516	0.0303024	0
0.0270321	-0.0161278	0
-0.0187205	-0.0295023	0
-0.0138769	0.0320691	0
-0.031542	0.0172166	0
0.0190584	0.0300652	0
-0.033847	-0.0120704	0
0.0141539	-0.0327604	0
-0.0230589	0.00192801	0
0.0152172	0.0577277	0
-0.0583328	0.0142736	0
-0.014265	-0.0583949	0
0.0582444	-0.0142695	0
0.00599616	-0.0594023	0
-0.0599257	-0.00494598	0
0.0597417	0.00495476	0
-0.00494853	0.0599166	0
-0.0123637	0.00132641	0
0.0322213	0.0513394	0
0.0520815	-0.0321808	0
-0.0517868	0.0321032	0
-0.0320989	-0.0518186	0
-0.0235625	0.0562297	0
-0.0562343	-0.0235612	0
0.0563163	0.0239225	0
0.0237711	-0.0557759	0
0.00838202	0.00532156	0
-0.00818745	-0.00959302	0
-0.0464659	0.00968367	0
0.00921912	0.0453726	0
-0.00996336	-0.0458039	0
0.0451608	-0.00987489	0
-0.0477018	-0.00235339	0
0.00203946	-0.0463621	0
-0.00257874	0.0473563	0
0.0461309	0.00262877	0
0.0368542	0.017337	0
-0.0191193	0.0240817	0
-0.0226511	-0.0207943	0
0.00892724	-0.00770556	0
0.0335438	-0.0230522	0
0.0206707	-0.023372	0
0.00648649	0.026139	0
0.00239067	-0.0267815	0
0.0239978	0.0196405	0
-0.0048468	0.0104323	0
-0.041439	-0.0212181	0
0.0222367	-0.0415048	0
-0.0217698	0.0422223	0
-0.0375152	0.0274649	0
0.0284397	0.0374917	0
-0.0281125	-0.0382704	0
-0.0407852	0.0477857	0
-0.0477857	-0.0407852	0
0.0474786	0.0405068	0
0.0404429	-0.0473413	0
0.0281291	0.00231602	0
0.0185374	-0.0126137	0
0.037612	0.00731926	0
-0.0630975	0.00496997	0
0.0051582	0.0629747	0
-0.00475823	-0.0630053	0
0.063043	-0.0049674	0
0.0198064	0.00818632	0
0.0361828	-0.0134916	0
0.00171916	-0.0148285	0
0.0340851	-0.0391699	0
-0.0390393	-0.0333016	0
-0.0332679	0.0390345	0
0.039741	0.0333338	0
0.00411258	0.0150615	0
-0.00460423	0.0295557	0
-0.00916666	-0.0284432	0
0.0252663	0.0590651	0
-0.058514	0.0249079	0
-0.0247541	-0.0583691	0
0.0582346	-0.0247709	0
-0.0153021	0.0615447	0
-0.0615557	-0.015299	0
0.0613571	0.0153606	0
0.0156832	-0.0623425	0
-0.0304028	0.00807241	0
-0.0315382	-0.00318212	0
0.0278868	-0.00737932	0
-0.0112381	0.0204514	0
-0.0144358	-0.0181991	0
0.0421819	0.0490976	0
0.0495248	-0.0422982	0
-0.0492726	0.0422289	0
-0.0422286	-0.0492749	0
-0.0340068	0.0553062	0
-0.0553065	-0.0340067	0
0.0339753	-0.0551103	0
0.0553801	0.0340244	0
0.0447702	0.0226226	0
0.0409639	-0.0294191	0
-0.0167516	-0.0390414	0
-0.0104379	0.0411813	0
0.0108801	0.0365302	0
-0.0395889	0.0166864	0
0.00503157	-0.0377825	0
-0.0417118	-0.0102879	0
-0.027124	0.0238943	0
-0.0305279	-0.0193569	0
