318	24
(28.8009,-494.072)	(-468.322,-94.6638)	(-175.845,428.138)	(342.544,292.466)	(412.301,-155.329)	(159.05,-403.092)	(-82.7027,-420.529)	(-196.319,-378.372)	(-192.126,-380.619)	(-68.7663,-423.307)	(180.696,-394.367)	(423.097,-125.215)	(316.01,322.133)	(-218.264,409.324)	(-456.728,-144.4)	(81.5396,-489.52)	(514.448,-16.7898)	(209.807,489.57)	(-257.564,482.9)	(-456.271,316.963)	(-449.907,325.358)	(-230.83,495.225)	(248.18,469.843)	(508.911,-67.1883)
(-122.132,-410.001)	(-229.583,-358.291)	(-222.765,-362.75)	(-98.7605,-416.726)	(157.867,-403.531)	(417.581,-141.457)	(321.81,316.087)	(-219.759,408.567)	(-452.985,-156.688)	(105.927,-485.478)	(515.355,19.6244)	(166.931,507.244)	(-303.268,457.55)	(-485.192,274.033)	(-475.439,289.493)	(-258.67,482.352)	(235.118,477.002)	(508.849,-67.5737)	(15.2864,-494.33)	(-471.912,-71.0224)	(-145.975,438.479)	(364.7,262.996)	(395.778,-191.749)	(119.76,-415.621)
(329.421,307.797)	(-211.584,412.629)	(-454.836,-150.758)	(103.522,-485.932)	(515.328,21.7466)	(160.121,509.66)	(-313.578,451.013)	(-493.33,260.209)	(-484.912,274.493)	(-273.754,474.566)	(222.446,483.503)	(510.398,-57.2776)	(21.53,-494.257)	(-471.63,-73.2149)	(-144.586,438.905)	(367.321,259.152)	(392.381,-198.281)	(110.473,-417.992)	(-132.879,-406.418)	(-239.955,-351.142)	(-233.925,-355.353)	(-111.961,-413.104)	(145.164,-407.993)	(413.101,-153.313)
(-105.996,-414.797)	(-257.784,-337.742)	(-289.102,-310.287)	(-219.332,-364.925)	(-13.9967,-429.688)	(300.156,-317.076)	(434.178,101.774)	(39.8144,456.263)	(-457.989,117.261)	(-160.9,-462.857)	(462.052,-213.81)	(325.648,416.388)	(-217.882,500.582)	(-492.75,261.225)	(-532.869,174.825)	(-432.156,347.154)	(-33.3107,539.101)	(470.658,224.951)	(289.184,-410.431)	(-371.395,-309.614)	(-334.406,326.146)	(241.28,383.78)	(435.611,-76.407)	(185.299,-392.335)
(307.73,-397.468)	(-357.836,-325.96)	(-347.502,312.791)	(228.22,392.07)	(437.735,-64.7781)	(192.524,-389.014)	(-102.147,-415.84)	(-257.771,-337.752)	(-291.885,-307.571)	(-225.789,-360.795)	(-25.2143,-428.959)	(289.245,-326.674)	(437.468,84.6666)	(59.3915,453.695)	(-451.778,137.597)	(-180.981,-454.799)	(452.621,-231.908)	(338.596,405.283)	(-207.4,504.638)	(-491.147,264.008)	(-534.822,169.384)	(-441.033,336.535)	(-52.7639,538.141)	(461.197,245.11)
(436.33,91.0053)	(48.4225,455.24)	(-456.437,122.66)	(-162.567,-462.227)	(463.291,-211.294)	(319.525,421.394)	(-229.844,495.647)	(-500.921,246.436)	(-538.979,157.168)	(-443.523,333.458)	(-47.9856,538.441)	(466.368,234.369)	(293.901,-407.251)	(-370.603,-310.611)	(-332.519,327.984)	(246.225,380.474)	(433.857,-84.895)	(175.377,-396.637)	(-117.917,-411.32)	(-268.225,-329.184)	(-299.052,-300.338)	(-231.177,-357.222)	(-27.6233,-428.764)	(290.695,-325.435)
(17.9999,-430.156)	(306.411,-311.273)	(437.369,85.2376)	(82.9103,449.462)	(-433.682,184.028)	(-248.429,-419.559)	(395.861,-314.966)	(418.738,316.089)	(-82.0886,535.362)	(-418.306,362.709)	(-493.885,259.232)	(-399.897,381.692)	(-34.5442,539.061)	(451.234,264.215)	(349.348,-363.405)	(-302.682,-380.156)	(-404.14,239.288)	(136.303,434.989)	(442.884,39.5761)	(279.73,-334.539)	(-5.98964,-430.028)	(-183.434,-385.089)	(-233.25,-355.815)	(-172.544,-390.34)
(396.549,-314.145)	(424.729,307.481)	(-59.5174,537.643)	(-394.822,386.618)	(-472.681,293.669)	(-369.034,409.825)	(3.1222,539.016)	(464.834,237.621)	(334.029,-376.816)	(-310.738,-373.261)	(-403.379,240.503)	(129.878,437.104)	(441.721,53.3743)	(294.871,-321.805)	(18.5929,-430.142)	(-157.754,-396.879)	(-207.198,-372.256)	(-142.85,-402.807)	(50.3422,-428.21)	(328.368,-288.959)	(431.536,113.429)	(58.6131,453.814)	(-441.079,166.751)	(-239.092,-425.26)
(443.57,26.964)	(267.345,-344.124)	(-23.8508,-429.063)	(-200.539,-376.049)	(-249.544,-344.117)	(-190.5,-381.474)	(-1.23026,-430.16)	(293.359,-323.131)	(439.71,70.2375)	(94.4313,446.922)	(-430.579,190.754)	(-250.093,-418.512)	(398.71,-311.544)	(411.963,325.402)	(-100.343,532.816)	(-434.129,344.84)	(-506.343,235.999)	(-417.446,363.638)	(-55.3527,537.96)	(444.002,276.985)	(355.213,-357.973)	(-301.427,-381.203)	(-402.012,242.669)	(144.571,432.112)
(59.967,-427.158)	(367.704,-239.223)	(389.128,223.321)	(-112.319,447.485)	(-473.982,-51.3736)	(14.1221,-494.335)	(511.7,-47.2762)	(195.64,495.895)	(-315.371,449.843)	(-514.582,219.02)	(-523.723,198.256)	(-366.247,412.164)	(108.163,524.804)	(513.33,60.2943)	(124.982,-481.443)	(-453.027,-156.557)	(-204.191,416.134)	(342.693,292.283)	(400.882,-181.401)	(107.811,-418.632)	(-154.572,-398.199)	(-273.061,-325.027)	(-280.455,-318.421)	(-181.477,-386.06)
(513.791,-26.2359)	(177.191,503.408)	(-328.748,440.795)	(-518.623,210.12)	(-524.383,196.665)	(-361.378,416.175)	(120.584,521.697)	(514.57,43.2346)	(106.098,-485.445)	(-458.658,-137.559)	(-186.719,423.795)	(353.466,278.564)	(394.118,-194.975)	(95.6825,-421.321)	(-163.173,-394.56)	(-277.556,-321.049)	(-282.284,-316.738)	(-180.44,-386.57)	(64.7874,-426.549)	(372.442,-232.103)	(383.163,233.896)	(-127.354,443.797)	(-472.086,-69.6252)	(34.522,-493.852)
