1840	3
0	0	0
0.59958	0.59958	0
-0.59958	0.59958	0
0.59958	-0.59958	0
-0.59958	-0.59958	0
0.569601	0.59958	0
0.539622	0.59958	0
0.509643	0.59958	0
0.479664	0.59958	0
0.449685	0.59958	0
0.419706	0.59958	0
0.389727	0.59958	0
0.359748	0.59958	0
0.329769	0.59958	0
0.29979	0.59958	0
0.269811	0.59958	0
0.239832	0.59958	0
0.209853	0.59958	0
0.179874	0.59958	0
0.149895	0.59958	0
0.119916	0.59958	0
0.089937	0.59958	0
0.059958	0.59958	0
0.029979	0.59958	0
1.65923e-12	0.59958	0
-0.029979	0.59958	0
-0.059958	0.59958	0
-0.089937	0.59958	0
-0.119916	0.59958	0
-0.149895	0.59958	0
-0.179874	0.59958	0
-0.209853	0.59958	0
-0.239832	0.59958	0
-0.269811	0.59958	0
-0.29979	0.59958	0
-0.329769	0.59958	0
-0.359748	0.59958	0
-0.389727	0.59958	0
-0.419706	0.59958	0
-0.449685	0.59958	0
-0.479664	0.59958	0
-0.509643	0.59958	0
-0.539622	0.59958	0
-0.569601	0.59958	0
0.569601	-0.59958	0
0.539622	-0.59958	0
0.509643	-0.59958	0
0.479664	-0.59958	0
0.449685	-0.59958	0
0.419706	-0.59958	0
0.389727	-0.59958	0
0.359748	-0.59958	0
0.329769	-0.59958	0
0.29979	-0.59958	0
0.269811	-0.59958	0
0.239832	-0.59958	0
0.209853	-0.59958	0
0.179874	-0.59958	0
0.149895	-0.59958	0
0.119916	-0.59958	0
0.089937	-0.59958	0
0.059958	-0.59958	0
0.029979	-0.59958	0
1.65923e-12	-0.59958	0
-0.029979	-0.59958	0
-0.059958	-0.59958	0
-0.089937	-0.59958	0
-0.119916	-0.59958	0
-0.149895	-0.59958	0
-0.179874	-0.59958	0
-0.209853	-0.59958	0
-0.239832	-0.59958	0
-0.269811	-0.59958	0
-0.29979	-0.59958	0
-0.329769	-0.59958	0
-0.359748	-0.59958	0
-0.389727	-0.59958	0
-0.419706	-0.59958	0
-0.449685	-0.59958	0
-0.479664	-0.59958	0
-0.509643	-0.59958	0
-0.539622	-0.59958	0
-0.569601	-0.59958	0
0.59958	0.569601	0
0.59958	0.539622	0
0.59958	0.509643	0
0.59958	0.479664	0
0.59958	0.449685	0
0.59958	0.419706	0
0.59958	0.389727	0
0.59958	0.359748	0
0.59958	0.329769	0
0.59958	0.29979	0
0.59958	0.269811	0
0.59958	0.239832	0
0.59958	0.209853	0
0.59958	0.179874	0
0.59958	0.149895	0
0.59958	0.119916	0
0.59958	0.089937	0
0.59958	0.059958	0
0.59958	0.029979	0
0.59958	1.65923e-12	0
0.59958	-0.029979	0
0.59958	-0.059958	0
0.59958	-0.089937	0
0.59958	-0.119916	0
0.59958	-0.149895	0
0.59958	-0.179874	0
0.59958	-0.209853	0
0.59958	-0.239832	0
0.59958	-0.269811	0
0.59958	-0.29979	0
0.59958	-0.329769	0
0.59958	-0.359748	0
0.59958	-0.389727	0
0.59958	-0.419706	0
0.59958	-0.449685	0
0.59958	-0.479664	0
0.59958	-0.509643	0
0.59958	-0.539622	0
0.59958	-0.569601	0
-0.59958	0.569601	0
-0.59958	0.539622	0
-0.59958	0.509643	0
-0.59958	0.479664	0
-0.59958	0.449685	0
-0.59958	0.419706	0
-0.59958	0.389727	0
-0.59958	0.359748	0
-0.59958	0.329769	0
-0.59958	0.29979	0
-0.59958	0.269811	0
-0.59958	0.239832	0
-0.59958	0.209853	0
-0.59958	0.179874	0
-0.59958	0.149895	0
-0.59958	0.119916	0
-0.59958	0.089937	0
-0.59958	0.059958	0
-0.59958	0.029979	0
-0.59958	1.65923e-12	0
-0.59958	-0.029979	0
-0.59958	-0.059958	0
-0.59958	-0.089937	0
-0.59958	-0.119916	0
-0.59958	-0.149895	0
-0.59958	-0.179874	0
