3516
(0.000799866,-0.00137619)
(-0.000331597,8.33894e-05)
(0.00111079,-0.00156297)
(0.00045391,-0.000261306)
(-0.000551985,0.000425642)
(-0.00132179,0.00129689)
(-0.00180665,0.0013731)
(0.000963142,-0.000715338)
(-0.000931521,0.0004727)
(-0.00108068,0.000716431)
(-0.000280538,0.000714004)
(0.000139926,-0.00010087)
(1.39371e-05,3.50756e-05)
(0.000195773,-0.000625727)
(0.000266547,-0.000675322)
(-0.00121898,0.00175108)
(0.000366052,-0.000872777)
(0.000721637,-0.000291183)
(0.000738854,-0.0003439)
(0.00384947,-0.00289046)
(-0.000165426,0.00046541)
(0.00429506,-0.00310828)
(0.000437293,-0.000191888)
(0.000246476,-0.000203509)
(9.81623e-05,0.000146101)
(0.000282508,-0.000239652)
(-1.47779e-05,0.000627714)
(0.143872,-0.0947584)
(0.000711353,-0.000331872)
(0.0013826,-0.000914225)
(0.000497225,-7.56218e-05)
(0.00426342,-0.00372291)
(0.00398837,-0.00247959)
(0.000334632,0.000240895)
(0.0010082,-0.000922695)
(0.000719873,-0.000462709)
(0.000481529,-0.000600157)
(0.000670161,-0.000411897)
(0.0011003,-0.0015836)
(0.00092236,-0.000980005)
(0.000225795,-8.46744e-06)
(0.000393484,-0.000179614)
(0.00101537,0.000505155)
(0.000530827,-0.000347313)
(0.000195852,-0.000359736)
(0.000607726,-0.00166498)
(0.000888259,-0.00182958)
(0.00475336,-0.00281409)
(0.00165751,-0.000826021)
(-0.000337675,0.000205717)
(-0.000870899,0.000456416)
(-0.000160515,-0.000334477)
(0.145157,-0.0944341)
(-0.00146684,0.00294877)
(0.0729567,-0.0391381)
(0.000167247,0.000405424)
(-0.000132468,0.000358767)
(0.00155362,0.000863689)
(-3.4681e-06,0.000246742)
(-0.000433809,0.00109333)
(-0.000537856,0.00117214)
(0.00024919,-0.000879637)
(0.00259194,-0.0017722)
(0.000250779,-0.000848363)
(-0.000265817,7.17258e-05)
(0.00290316,-0.00106839)
(0.00459548,-0.00272733)
(-0.000568911,0.000266195)
(-0.000616254,0.000325013)
(-0.000479522,0.000790695)
(-0.000363161,0.000698122)
(0.000198782,-0.000462424)
(0.000116447,-0.000377459)
(-8.53813e-05,0.000320218)
(-0.000105301,0.000300186)
(0.000227104,-0.00011158)
(-1.98455e-05,0.000314134)
(-9.43693e-05,0.000377232)
(0.000750555,-0.000417297)
(0.000571377,-0.000237795)
(-0.000219688,4.41513e-05)
(0.000889262,-0.000625798)
(-0.000239349,7.33213e-05)
(-0.000430826,0.000783239)
(-0.000618915,0.000309342)
(-0.000241126,0.000616043)
(0.146707,-0.0954372)
(0.000324201,-0.000809477)
(-0.000276118,3.15665e-05)
(0.00313211,-0.00523982)
(1.87104e-05,0.00206197)
(-0.0112004,0.00730826)
(0.000269527,-0.000752826)
(0.000586593,0.000154562)
(0.00117308,-0.000401428)
(-0.000588423,0.000389923)
(0.000209148,-0.000615404)
(6.64202e-05,0.000275998)
(-0.000153328,-8.67432e-05)
(-0.00020778,0.000458089)
(-0.000499801,0.000813842)
(0.0011301,-0.0014565)
(0.000769556,-0.0014526)
(-0.000180299,0.000443147)
(-1.64408e-05,0.00031938)
(-0.000147876,0.000308826)
(0.000937152,-0.00185344)
(-0.00241341,0.00188748)
(-0.00586397,0.00675316)
(-0.00264113,0.00178231)
(-0.000187871,0.000462041)
(-0.000457929,0.000217397)
