x	y	z	magnitude	phase	style
1.000000	0.000000	0.000000	1.000000	0.000000	planewave
0.998027	0.062791	0.000000	1.000000	0.000000	planewave
0.992115	0.125333	0.000000	1.000000	0.000000	planewave
0.982287	0.187381	0.000000	1.000000	0.000000	planewave
0.968583	0.248690	0.000000	1.000000	0.000000	planewave
0.951057	0.309017	0.000000	1.000000	0.000000	planewave
0.929776	0.368125	0.000000	1.000000	0.000000	planewave
0.904827	0.425779	0.000000	1.000000	0.000000	planewave
0.876307	0.481754	0.000000	1.000000	0.000000	planewave
0.844328	0.535827	0.000000	1.000000	0.000000	planewave
0.809017	0.587785	0.000000	1.000000	0.000000	planewave
0.770513	0.637424	0.000000	1.000000	0.000000	planewave
0.728969	0.684547	0.000000	1.000000	0.000000	planewave
0.684547	0.728969	0.000000	1.000000	0.000000	planewave
0.637424	0.770513	0.000000	1.000000	0.000000	planewave
0.587785	0.809017	0.000000	1.000000	0.000000	planewave
0.535827	0.844328	0.000000	1.000000	0.000000	planewave
0.481754	0.876307	0.000000	1.000000	0.000000	planewave
0.425779	0.904827	0.000000	1.000000	0.000000	planewave
0.368125	0.929776	0.000000	1.000000	0.000000	planewave
0.309017	0.951057	0.000000	1.000000	0.000000	planewave
0.248690	0.968583	0.000000	1.000000	0.000000	planewave
0.187381	0.982287	0.000000	1.000000	0.000000	planewave
0.125333	0.992115	0.000000	1.000000	0.000000	planewave
0.062791	0.998027	0.000000	1.000000	0.000000	planewave
0.000000	1.000000	0.000000	1.000000	0.000000	planewave
-0.062791	0.998027	0.000000	1.000000	0.000000	planewave
-0.125333	0.992115	0.000000	1.000000	0.000000	planewave
-0.187381	0.982287	0.000000	1.000000	0.000000	planewave
-0.248690	0.968583	0.000000	1.000000	0.000000	planewave
-0.309017	0.951057	0.000000	1.000000	0.000000	planewave
-0.368125	0.929776	0.000000	1.000000	0.000000	planewave
-0.425779	0.904827	0.000000	1.000000	0.000000	planewave
-0.481754	0.876307	0.000000	1.000000	0.000000	planewave
-0.535827	0.844328	0.000000	1.000000	0.000000	planewave
-0.587785	0.809017	0.000000	1.000000	0.000000	planewave
-0.637424	0.770513	0.000000	1.000000	0.000000	planewave
-0.684547	0.728969	0.000000	1.000000	0.000000	planewave
-0.728969	0.684547	0.000000	1.000000	0.000000	planewave
-0.770513	0.637424	0.000000	1.000000	0.000000	planewave
-0.809017	0.587785	0.000000	1.000000	0.000000	planewave
-0.844328	0.535827	0.000000	1.000000	0.000000	planewave
-0.876307	0.481754	0.000000	1.000000	0.000000	planewave
-0.904827	0.425779	0.000000	1.000000	0.000000	planewave
-0.929776	0.368125	0.000000	1.000000	0.000000	planewave
-0.951057	0.309017	0.000000	1.000000	0.000000	planewave
-0.968583	0.248690	0.000000	1.000000	0.000000	planewave
-0.982287	0.187381	0.000000	1.000000	0.000000	planewave
-0.992115	0.125333	0.000000	1.000000	0.000000	planewave
-0.998027	0.062791	0.000000	1.000000	0.000000	planewave
-1.000000	0.000000	0.000000	1.000000	0.000000	planewave
-0.998027	-0.062791	0.000000	1.000000	0.000000	planewave
-0.992115	-0.125333	0.000000	1.000000	0.000000	planewave
-0.982287	-0.187381	0.000000	1.000000	0.000000	planewave
-0.968583	-0.248690	0.000000	1.000000	0.000000	planewave
