x	y	z
5.995800	0.000000	0.000000
5.983969	0.376479	0.000000
5.948521	0.751473	0.000000
5.889598	1.123501	0.000000
5.807431	1.491095	0.000000
5.702345	1.852804	0.000000
5.574754	2.207201	0.000000
5.425162	2.552887	0.000000
5.254160	2.888499	0.000000
5.062421	3.212710	0.000000
4.850704	3.524243	0.000000
4.619843	3.821867	0.000000
4.370750	4.104408	0.000000
4.104408	4.370750	0.000000
3.821867	4.619843	0.000000
3.524243	4.850704	0.000000
3.212710	5.062421	0.000000
2.888499	5.254160	0.000000
2.552887	5.425162	0.000000
2.207201	5.574754	0.000000
1.852804	5.702345	0.000000
1.491095	5.807431	0.000000
1.123501	5.889598	0.000000
0.751473	5.948521	0.000000
0.376479	5.983969	0.000000
0.000000	5.995800	0.000000
-0.376479	5.983969	0.000000
-0.751473	5.948521	0.000000
-1.123501	5.889598	0.000000
-1.491095	5.807431	0.000000
-1.852804	5.702345	0.000000
-2.207201	5.574754	0.000000
-2.552887	5.425162	0.000000
-2.888499	5.254160	0.000000
-3.212710	5.062421	0.000000
-3.524243	4.850704	0.000000
-3.821867	4.619843	0.000000
-4.104408	4.370750	0.000000
-4.370750	4.104408	0.000000
-4.619843	3.821867	0.000000
-4.850704	3.524243	0.000000
-5.062421	3.212710	0.000000
-5.254160	2.888499	0.000000
-5.425162	2.552887	0.000000
-5.574754	2.207201	0.000000
-5.702345	1.852804	0.000000
-5.807431	1.491095	0.000000
-5.889598	1.123501	0.000000
-5.948521	0.751473	0.000000
-5.983969	0.376479	0.000000
-5.995800	0.000000	0.000000
-5.983969	-0.376479	0.000000
-5.948521	-0.751473	0.000000
-5.889598	-1.123501	0.000000
-5.807431	-1.491095	0.000000
-5.702345	-1.852804	0.000000
-5.574754	-2.207201	0.000000
-5.425162	-2.552887	0.000000
-5.254160	-2.888499	0.000000
-5.062421	-3.212710	0.000000
-4.850704	-3.524243	0.000000
-4.619843	-3.821867	0.000000
-4.370750	-4.104408	0.000000
-4.104408	-4.370750	0.000000
-3.821867	-4.619843	0.000000
-3.524243	-4.850704	0.000000
-3.212710	-5.062421	0.000000
-2.888499	-5.254160	0.000000
-2.552887	-5.425162	0.000000
-2.207201	-5.574754	0.000000
-1.852804	-5.702345	0.000000
-1.491095	-5.807431	0.000000
-1.123501	-5.889598	0.000000
-0.751473	-5.948521	0.000000
-0.376479	-5.983969	0.000000
-0.000000	-5.995800	0.000000
0.376479	-5.983969	0.000000
0.751473	-5.948521	0.000000
1.123501	-5.889598	0.000000
1.491095	-5.807431	0.000000
1.852804	-5.702345	0.000000
2.207201	-5.574754	0.000000
2.552887	-5.425162	0.000000
2.888499	-5.254160	0.000000
3.212710	-5.062421	0.000000
3.524243	-4.850704	0.000000
3.821867	-4.619843	0.000000
4.104408	-4.370750	0.000000
4.370750	-4.104408	0.000000
4.619843	-3.821867	0.000000
4.850704	-3.524243	0.000000
5.062421	-3.212710	0.000000
5.254160	-2.888499	0.000000
5.425162	-2.552887	0.000000
5.574754	-2.207201	0.000000
5.702345	-1.852804	0.000000
5.807431	-1.491095	0.000000
5.889598	-1.123501	0.000000
5.948521	-0.751473	0.000000
5.983969	-0.376479	0.000000
