1620
(-0.0854372,-0.147541)
(-0.0194772,0.122587)
(-0.113612,-0.0490962)
(-0.0876552,-0.0959786)
(-0.122123,0.0558841)
(-0.124974,0.0923689)
(0.0449293,0.0520491)
(-0.00874944,-0.0369913)
(-0.0515926,0.110976)
(0.0190164,0.0613679)
(0.0632796,0.142579)
(0.115761,0.079798)
(-0.0855492,0.0375968)
(-0.135408,-0.073317)
(0.0224046,0.0823137)
(0.00969619,0.161964)
(-0.00490168,-0.0879071)
(-0.196189,0.103108)
(0.0921032,-0.0908315)
(-3.12947e-05,-0.0884442)
(-0.0800227,0.0134234)
(-0.00886461,0.0299431)
(-0.027145,-0.0742853)
(0.194535,-0.0176397)
(0.123381,0.0550094)
(-0.0320642,0.0964312)
(-0.010673,0.112917)
(0.0211576,0.0140024)
(0.0796353,0.170126)
(0.0470204,0.0131507)
(0.0378013,0.0335446)
(0.0303631,0.0101337)
(0.071549,0.0436317)
(-0.0795602,0.186942)
(-0.00771573,0.0466255)
(0.0336112,0.0235457)
(-0.137173,-0.00425855)
(-0.00795958,0.0621103)
(-0.0281474,0.0310479)
(0.100445,-0.089619)
(0.0155106,-0.143236)
(0.0775129,-0.00301841)
(0.036933,-0.062627)
(-0.010981,0.012867)
(-0.0526027,0.0875623)
(0.258757,-0.109815)
(0.124864,0.11985)
(0.0031569,-0.0371991)
(0.0339444,0.0688941)
(-0.00779049,0.0700299)
(0.0717639,-0.00992194)
(-0.0925541,0.0817123)
(0.00781956,-0.00657178)
(-0.0386237,-0.00429486)
(-0.153305,0.0845366)
(-0.111104,0.0609051)
(0.0393682,0.053398)
(-0.109219,0.0418488)
(0.0569615,0.0519802)
(-0.0312706,0.0171862)
(0.0832163,0.0289694)
(0.211288,0.00904465)
(-0.13963,0.0432776)
(0.408789,-0.0926252)
(-0.141987,0.0237295)
(-0.00979603,0.0256131)
(0.0091427,-0.0474653)
(-0.0349445,-0.0255309)
(0.0354051,0.0434384)
(0.020308,-0.0156471)
(-0.0770905,0.0929875)
(-0.0193425,-0.0903104)
(-0.021699,0.0658674)
(-0.0286771,0.0307326)
(0.035972,0.166413)
(-0.0838553,0.0843203)
(-0.0178825,0.0238295)
(0.124427,-0.0482745)
(0.0140403,0.026215)
(0.152018,-0.046217)
(0.0344972,0.11763)
(-0.0798087,-0.150001)
(-0.0235295,0.0376026)
(-0.0125665,-0.0061014)
(-0.0666557,0.0248857)
(-0.074657,-0.069967)
(-0.0675301,-0.0557341)
(-0.0190702,0.0697973)
(0.0883061,0.142784)
(0.0057561,0.00743035)
(0.0435443,0.00578714)
(0.053946,0.0609521)
(0.643637,-0.285431)
(-0.0738805,0.0168313)
(-0.127883,0.0250356)
(0.674628,-0.393893)
(-0.0201627,-0.0514479)
(0.544604,-0.448485)
(0.0010794,-0.170715)
(-0.0304337,-0.135073)
(0.0948219,-0.0730161)
(-0.0372439,0.141495)
(0.0426187,-0.00988441)
(-0.052145,-0.000284431)
(0.128281,0.00961771)
(0.315236,0.0359835)
(-0.0592839,-0.0996587)
(-0.0477759,-0.138072)
(0.0278304,-0.0625245)
(0.0167107,-0.140985)
(0.0375743,-0.0543613)
(0.468014,0.0478144)
(0.415817,0.000183824)
(-0.0276976,-0.0378641)
(0.236247,-0.278014)
(-0.0456273,0.000470547)
(-0.127065,0.0553728)
(0.373205,-0.244849)
(-0.0264966,-0.0338368)
(0.553553,-0.245013)
(0.168394,-0.0328767)
(-0.0434715,-0.0454479)
(0.279951,-0.0626618)
(0.214544,-0.294851)
(0.280734,-0.289628)
(0.0959315,-0.00491677)
(-0.105821,0.0129702)
(-0.0868989,-0.0855296)
(0.335559,0.0274239)
(0.0313314,-0.00436386)
(0.0730154,0.0014356)
(0.141784,-0.0741712)
(0.0845448,-0.0791413)
(0.0386499,-0.00446628)
(0.126416,0.0118995)
(0.00592826,-0.0817215)
(-0.0214369,-0.0569799)
(-0.0772017,-0.0415288)
(0.011256,-0.411597)
(-0.0877113,-0.0468717)
(-0.0882306,0.0840749)
