866	3
0	0	0
0.2	0.2	0
-0.2	0.2	0
0.2	-0.2	0
-0.2	-0.2	0
0.185185	0.2	0
0.17037	0.2	0
0.155556	0.2	0
0.140741	0.2	0
0.125926	0.2	0
0.111111	0.2	0
0.0962963	0.2	0
0.0814815	0.2	0
0.0666667	0.2	0
0.0518519	0.2	0
0.037037	0.2	0
0.0222222	0.2	0
0.00740741	0.2	0
-0.00740741	0.2	0
-0.0222222	0.2	0
-0.037037	0.2	0
-0.0518519	0.2	0
-0.0666667	0.2	0
-0.0814815	0.2	0
-0.0962963	0.2	0
-0.111111	0.2	0
-0.125926	0.2	0
-0.140741	0.2	0
-0.155556	0.2	0
-0.17037	0.2	0
-0.185185	0.2	0
0.185185	-0.2	0
0.17037	-0.2	0
0.155556	-0.2	0
0.140741	-0.2	0
0.125926	-0.2	0
0.111111	-0.2	0
0.0962963	-0.2	0
0.0814815	-0.2	0
0.0666667	-0.2	0
0.0518519	-0.2	0
0.037037	-0.2	0
0.0222222	-0.2	0
0.00740741	-0.2	0
-0.00740741	-0.2	0
-0.0222222	-0.2	0
-0.037037	-0.2	0
-0.0518519	-0.2	0
-0.0666667	-0.2	0
-0.0814815	-0.2	0
-0.0962963	-0.2	0
-0.111111	-0.2	0
-0.125926	-0.2	0
-0.140741	-0.2	0
-0.155556	-0.2	0
-0.17037	-0.2	0
-0.185185	-0.2	0
0.2	0.185185	0
0.2	0.17037	0
0.2	0.155556	0
0.2	0.140741	0
0.2	0.125926	0
0.2	0.111111	0
0.2	0.0962963	0
0.2	0.0814815	0
0.2	0.0666667	0
0.2	0.0518519	0
0.2	0.037037	0
0.2	0.0222222	0
0.2	0.00740741	0
0.2	-0.00740741	0
0.2	-0.0222222	0
0.2	-0.037037	0
0.2	-0.0518519	0
0.2	-0.0666667	0
0.2	-0.0814815	0
0.2	-0.0962963	0
0.2	-0.111111	0
0.2	-0.125926	0
0.2	-0.140741	0
0.2	-0.155556	0
0.2	-0.17037	0
0.2	-0.185185	0
-0.2	0.185185	0
-0.2	0.17037	0
-0.2	0.155556	0
-0.2	0.140741	0
-0.2	0.125926	0
-0.2	0.111111	0
-0.2	0.0962963	0
-0.2	0.0814815	0
-0.2	0.0666667	0
-0.2	0.0518519	0
-0.2	0.037037	0
-0.2	0.0222222	0
-0.2	0.00740741	0
-0.2	-0.00740741	0
-0.2	-0.0222222	0
-0.2	-0.037037	0
-0.2	-0.0518519	0
-0.2	-0.0666667	0
-0.2	-0.0814815	0
-0.2	-0.0962963	0
-0.2	-0.111111	0
-0.2	-0.125926	0
-0.2	-0.140741	0
-0.2	-0.155556	0
-0.2	-0.17037	0
-0.2	-0.185185	0
0.0269972	-0.186917	0
0.0426252	-0.182027	0
-0.0617605	-0.0818518	0
-0.0605017	-0.0958472	0
-0.0707271	-0.0922913	0
0.175746	-0.0424676	0
0.169157	-0.0314869	0
0.185702	-0.0306471	0
0.129119	0.0729165	0
0.142158	0.0794577	0
0.140654	0.0626376	0
-0.0657369	-0.133508	0
-0.064632	-0.145694	0
-0.0762223	-0.142925	0
-0.0474728	-0.0944273	0
-0.183056	-0.0890204	0
-0.185187	-0.074178	0
-0.167915	-0.0777346	0
-0.0500704	-0.140435	0
0.00290018	0.183824	0
0.00362893	0.164181	0
-0.00626685	0.172974	0
-0.0693052	-0.104382	0
-0.0685558	-0.117811	0
-0.0818818	-0.114111	0
-0.0567449	-0.107714	0
0.154144	0.071022	0
-0.0938767	-0.124924	0
-0.0973816	-0.108992	0
-0.181955	-0.132776	0
-0.168715	-0.120122	0
-0.162876	-0.133941	0
0.168211	-0.114999	0
0.175942	-0.101415	0
0.185025	-0.116303	0
-0.158165	0.0604747	0
-0.15336	0.0440447	0
-0.167642	0.0516509	0
-0.170506	-0.14417	0
-0.186257	-0.150011	0
-0.109119	-0.0701291	0
-0.0913441	-0.0715128	0
-0.104231	-0.0827859	0
-0.0998874	-0.0962111	0
-0.0832574	-0.0976206	0
-0.0624744	0.178346	0
-0.0735985	0.189084	0
-0.0596635	0.190725	0
0.107748	0.0352438	0
0.0925664	0.040743	0
0.105761	0.0535668	0
0.18719	-0.0467399	0
0.170503	-0.15764	0
0.176242	-0.142024	0
0.186786	-0.148682	0
0.0149059	0.128986	0
0.0218441	0.140936	0
0.0319878	0.130638	0
0.0931831	0.154263	0
0.0919192	0.172869	0
0.10668	0.160546	0
0.0910145	0.0550155	0
0.108594	0.174092	0
0.0174329	0.105544	0
0.0226797	0.119028	0
0.0343182	0.110791	0
-0.128635	0.186258	0
-0.0538435	-0.124036	0
-0.131634	-0.185985	0
-0.179857	0.173556	0
-0.190612	0.186199	0
-0.178629	0.188083	0
0.150849	-0.185315	0
0.146916	-0.171548	0
0.163116	-0.175206	0
0.137331	-0.179893	0
0.0592337	0.170099	0
0.06078	0.153541	0
0.0442801	0.158855	0
0.184276	0.165139	0
0.00775845	0.115979	0
-0.124014	-0.156967	0
-0.121396	-0.172474	0
-0.138648	-0.17051	0
-0.10563	-0.165328	0
-0.0788391	-0.128628	0
-0.0226863	0.0534758	0
-0.0176287	0.0686518	0
-0.0101881	0.0612844	0
-0.0455778	-0.163261	0
-0.053563	-0.173174	0
-0.0568627	-0.156935	0
0.176127	-0.187005	0
0.187562	-0.175901	0
0.189259	-0.188777	0
0.163864	-0.189823	0
-0.00580969	0.074194	0
0.040653	0.0967197	0
0.0525165	0.104893	0
0.0514085	0.0855176	0
-0.0917015	-0.0851937	0
-0.111501	-0.0928109	0
-0.183459	0.0143434	0
-0.188781	0.000172139	0
-0.0961698	0.127583	0
-0.104229	0.14064	0
-0.0884601	0.140915	0
0.187655	0.0432818	0
0.187914	0.0577326	0
-0.10043	0.154686	0
-0.115998	0.146134	0
-0.116683	0.160964	0
0.12713	-0.0927221	0
0.122215	-0.106358	0
0.111543	-0.090047	0
0.185546	-0.0869445	0
0.190275	-0.0731651	0
0.123539	-0.0770819	0
0.138705	-0.0816607	0
-0.182733	-0.118132	0
-0.188085	0.160217	0
-0.185015	0.14749	0
-0.0113066	0.136403	0
-0.0283614	0.132368	0
-0.0201766	0.147164	0
-0.0104015	0.187789	0
0.122537	0.184662	0
0.102826	0.186339	0
-0.0465921	0.184752	0
-0.0279713	0.186254	0
-0.116706	0.175516	0
-0.114717	0.188735	0
