1620
(0.0353751,-0.109643)
(0.0973977,-0.113118)
(-0.0528252,-0.0481586)
(0.0447655,-0.0722332)
(0.0407312,0.0709479)
(0.0300824,-0.0589462)
(0.13518,-0.172136)
(0.0168157,-0.0691249)
(0.0431163,-0.0973923)
(0.00761278,-0.0665342)
(0.082555,-0.107186)
(0.0895152,-0.130248)
(0.00475715,0.0588573)
(0.0546367,-0.0854873)
(-0.0187062,-0.0162426)
(0.0320707,-0.0569917)
(0.0419055,-0.0427466)
(-0.0122225,0.0242478)
(0.108485,-0.0361526)
(0.0141726,0.017402)
(0.0862297,-0.073792)
(0.048223,0.00931154)
(0.00317735,0.00172336)
(0.10925,-0.123097)
(-0.0202472,-0.0349069)
(0.00375455,0.118782)
(0.00796585,0.011933)
(0.0213124,0.00251205)
(0.085199,-0.0865983)
(0.0229663,-0.0257505)
(0.00398101,0.021578)
(-0.0468374,-0.012567)
(0.0794218,-0.150876)
(-0.0194135,0.0415357)
(0.0878628,-0.0231754)
(0.0429386,-0.00283384)
(0.168659,-0.047239)
(0.0193909,0.0823303)
(0.0318726,0.0467054)
(-0.0647636,-0.0376847)
(0.169344,0.0176995)
(0.00351335,0.00625273)
(0.0122032,0.109547)
(0.0603456,0.0418298)
(0.0590904,-0.111547)
(0.0542625,-0.102193)
(0.023746,-0.0574397)
(0.00169532,0.0678598)
(-0.00301371,0.0420058)
(0.00276936,0.0495799)
(0.0358798,-0.080516)
(0.0305015,0.0319665)
(0.0703111,-0.0469189)
(0.0565685,-0.0195834)
(-0.0664709,-0.00525637)
(-0.0331918,0.0053148)
(0.140581,-0.0611271)
(0.0229386,0.0456036)
(0.00478634,-0.083635)
(0.0173,0.145908)
(-0.00967686,-0.0829426)
(0.195079,-0.217706)
(0.0608541,-0.0504408)
(0.164368,-0.216999)
(0.0367441,-0.0594697)
(-0.0105658,-0.0632776)
(0.0611208,-0.0691355)
(0.0469072,-0.0710236)
(-0.00376999,-0.0136579)
(0.0348336,-0.00391272)
(-0.0474202,-0.115431)
(-0.0198707,-0.0663681)
(-0.0219175,0.138525)
(-0.112667,0.0334586)
(0.186289,-0.186358)
(0.0849928,-0.0199618)
(0.0769312,0.00762668)
(-0.0155156,-0.124627)
(0.000231001,-0.0584326)
(0.00754718,-0.158639)
(0.049524,-0.109593)
(0.037522,0.138606)
(0.0733166,-0.0666778)
(0.0332924,-0.0797254)
(0.0242485,-0.0688223)
(0.0375826,0.0936702)
(-0.0266783,-0.0580918)
(0.0460936,0.0212802)
(0.102894,-0.0208971)
(0.0742986,0.0241463)
(-0.0199371,-0.0157065)
(0.0363471,0.0130481)
(0.0584292,-0.138365)
(0.109849,-0.1868)
(0.119581,-0.17606)
(0.0656356,-0.161787)
(0.0798874,-0.135086)
(0.198351,-0.214564)
(-0.0399119,-0.0190382)
(-0.00707998,-0.0295037)
(0.0591237,0.0502401)
(0.0543785,-0.137595)
(-0.0525093,0.00166521)
(-0.0809348,-0.0158545)
(0.0349918,0.044226)
(0.20949,-0.265436)
(0.10272,-0.14645)
(0.081014,-0.127871)
(0.0163224,-0.0147759)
(0.0877386,-0.122848)
(0.0240486,-0.00317084)
(0.144228,-0.265508)
(0.157171,-0.19276)
(0.00635001,-0.00892231)
(0.056484,-0.196191)
(0.0297186,-0.206882)
(0.0605169,-0.201809)
(0.0795043,-0.205151)
(-0.00324244,0.0129749)
