x	y	z	magnitude	phase	style
0.599580	0.000000	0.000000	1.000000	0.000000	linesource
0.579150	0.155183	0.000000	1.000000	0.000000	linesource
0.519252	0.299790	0.000000	1.000000	0.000000	linesource
0.423967	0.423967	0.000000	1.000000	0.000000	linesource
0.299790	0.519252	0.000000	1.000000	0.000000	linesource
0.155183	0.579150	0.000000	1.000000	0.000000	linesource
0.000000	0.599580	0.000000	1.000000	0.000000	linesource
-0.155183	0.579150	0.000000	1.000000	0.000000	linesource
-0.299790	0.519252	0.000000	1.000000	0.000000	linesource
-0.423967	0.423967	0.000000	1.000000	0.000000	linesource
-0.519252	0.299790	0.000000	1.000000	0.000000	linesource
-0.579150	0.155183	0.000000	1.000000	0.000000	linesource
-0.599580	0.000000	0.000000	1.000000	0.000000	linesource
-0.579150	-0.155183	0.000000	1.000000	0.000000	linesource
-0.519252	-0.299790	0.000000	1.000000	0.000000	linesource
-0.423967	-0.423967	0.000000	1.000000	0.000000	linesource
-0.299790	-0.519252	0.000000	1.000000	0.000000	linesource
-0.155183	-0.579150	0.000000	1.000000	0.000000	linesource
-0.000000	-0.599580	0.000000	1.000000	0.000000	linesource
0.155183	-0.579150	0.000000	1.000000	0.000000	linesource
0.299790	-0.519252	0.000000	1.000000	0.000000	linesource
0.423967	-0.423967	0.000000	1.000000	0.000000	linesource
0.519252	-0.299790	0.000000	1.000000	0.000000	linesource
0.579150	-0.155183	0.000000	1.000000	0.000000	linesource
