x	y	z
0.599640	0.000000	0.000000
0.579208	0.155198	0.000000
0.519303	0.299820	0.000000
0.424009	0.424009	0.000000
0.299820	0.519303	0.000000
0.155198	0.579208	0.000000
0.000000	0.599640	0.000000
-0.155198	0.579208	0.000000
-0.299820	0.519303	0.000000
-0.424009	0.424009	0.000000
-0.519303	0.299820	0.000000
-0.579208	0.155198	0.000000
-0.599640	0.000000	0.000000
-0.579208	-0.155198	0.000000
-0.519303	-0.299820	0.000000
-0.424009	-0.424009	0.000000
-0.299820	-0.519303	0.000000
-0.155198	-0.579208	0.000000
-0.000000	-0.599640	0.000000
0.155198	-0.579208	0.000000
0.299820	-0.519303	0.000000
0.424009	-0.424009	0.000000
0.519303	-0.299820	0.000000
0.579208	-0.155198	0.000000
