422
(-0.229696,-0.0775679)
(-0.0679084,-0.00922713)
(-0.274342,0.464011)
(0.139045,0.0507272)
(-0.118921,-0.106488)
(0.452607,0.947041)
(-0.219247,-0.130844)
(-0.132227,-0.165641)
(0.209982,0.0503061)
(0.0989761,-0.102087)
(0.409389,-0.465874)
(0.191034,-0.242148)
(0.422715,-0.305275)
(0.153503,-0.211598)
(-0.629117,-0.177893)
(-0.82394,-0.458525)
(0.0353925,0.198107)
(0.0621749,0.443393)
(0.189538,-0.123857)
(0.456725,1.20037)
(0.11061,-0.104071)
(0.134659,-0.129747)
(0.604404,0.0709947)
(-0.0119729,-0.052445)
(-0.102052,-0.0978107)
(-0.162045,-0.148555)
(-0.259661,-0.141504)
(-0.504239,0.144186)
(0.153689,-0.450593)
(0.223858,-0.447506)
(0.125062,0.465747)
(0.23568,0.157832)
(0.39082,0.184572)
(0.228444,0.324576)
(0.259467,-0.140836)
(0.449122,-0.048919)
(0.216961,-0.267826)
(-0.428778,0.514585)
(0.0715511,0.188396)
(0.219345,0.217771)
(0.0745254,-0.00527586)
(0.0557402,0.436232)
(-0.353985,-0.305279)
(0.357885,0.0813218)
(-0.536882,1.11555)
(1.25603,-0.411407)
(0.591109,0.125608)
(-0.546461,0.156656)
(0.204516,-0.358616)
(0.0907239,-0.241469)
(0.0962979,0.173745)
(0.105488,-0.054598)
(-0.329906,0.361606)
(0.0548786,-0.226216)
(-0.129468,-0.387288)
(0.294967,-0.0504231)
(-0.229008,-0.557611)
(0.432709,-0.149076)
(-0.5379,0.0474102)
(-0.0917674,0.307036)
(0.0997777,-0.118648)
(-0.156884,0.0465862)
(-0.017259,-0.0527669)
(-0.0835938,-0.198848)
(0.755326,-0.383109)
(-0.108442,-0.288937)
(0.300389,-0.63415)
(0.208783,-0.353423)
(0.341254,0.161499)
(-0.272177,-0.261697)
(0.261024,-0.745391)
(0.158093,-0.329205)
(0.046494,0.180905)
(0.0625403,-0.135571)
(0.113292,0.475034)
(0.126839,0.264998)
(-0.458075,-0.0755777)
(-0.975764,-0.101417)
(-0.277576,0.294029)
(0.221331,0.911192)
(0.154001,0.363744)
(0.290961,-0.413203)
(-0.380444,0.438716)
(-0.222705,0.321469)
(-0.048982,-0.290796)
(-0.115873,0.0506381)
(-0.421487,0.116058)
(0.390286,-0.0624818)
(-0.409419,-0.507081)
(-0.0182667,-0.664623)
(-0.0994283,-0.541794)
(0.0684921,-1.05581)
(0.253396,0.167825)
(-0.250561,0.402128)
(0.0478919,-0.516673)
(-0.264028,0.23688)
(0.0757137,0.442859)
(0.0403483,0.383766)
(0.0420781,0.245669)
(-0.260107,-0.170637)
(0.130914,0.0946402)
(-0.32423,-0.303978)
(0.00205878,-0.0344511)
(-0.376924,0.152659)
(-0.126938,0.197378)
(0.863565,0.715344)
(0.483161,0.607726)
(0.0156812,0.267828)
(0.777259,-0.505191)
(-0.044991,-0.089337)
(-0.871527,0.171167)
(-1.20308,0.176145)
(-0.0816015,0.197181)
(-0.0660133,0.377222)
(0.943616,-0.431045)
(0.3097,-0.289756)
(0.558422,-0.331619)
(0.169529,0.10568)
(-0.889521,0.0484597)
(0.227357,-0.199937)
(-0.371839,0.0108674)
(-0.076894,-0.283411)
(0.406147,-0.151204)
(-0.0677464,-0.699244)
(-0.211891,-1.20628)
(0.227152,-0.0257819)
(0.187832,0.0178038)
(0.153256,0.18232)
(-0.429258,-0.0892325)
(0.0506787,0.192602)
(-0.163633,-0.0879007)
(0.036023,0.00232757)
(-0.423485,-0.0890247)
(-0.187647,-0.143814)
(0.00622967,-0.137663)
(0.0758213,0.0760774)
(0.326443,-0.0171932)
(-0.0717415,-0.0446349)
(0.210658,-0.251477)
(0.047174,0.150635)
(1.25105,-0.739369)
(0.166361,-0.669531)
(-0.170003,0.219398)
(0.553384,0.0493829)
(0.257356,0.112476)
(0.0786171,-0.956795)
(0.450447,0.148283)
(0.071223,0.0284873)
(-0.210655,0.0865041)
(0.153603,0.218907)
(0.265271,0.338656)
(-0.0877042,0.0150428)
(-0.0881667,0.51911)
(0.320771,-0.460318)
(-0.109215,0.110687)
(0.0119756,0.0696682)
(0.255961,0.151595)
(0.320337,-0.111806)
(0.0919857,0.0553327)
(0.389813,0.30157)
(0.477026,0.128459)
(0.461297,0.263036)
(-0.180157,-0.0667274)
(0.520605,0.326885)
(0.240083,0.00494392)
(0.113476,0.0302062)
(-0.0477863,0.619364)
(0.322806,-0.119795)
(-0.224643,0.511055)
(-0.118246,-0.0749587)
(0.216305,0.58744)
(-0.193341,-0.20628)
(-0.152776,-0.279634)
(-0.280839,0.104027)
(-0.0637152,0.96441)
(0.300001,-0.206076)
(0.332633,-0.0190382)
(0.160579,-0.13256)
(0.0343367,-0.052844)
(0.0609749,-0.0749376)
(0.799205,-0.00272564)
(1.01949,0.244145)
(0.172334,1.00349)
(0.373411,-0.478124)
(0.408653,0.842277)
(0.3826,-0.0322367)
(0.016387,-0.188714)
(0.287608,0.0433236)
(0.122013,-0.377379)
(0.636224,-0.257641)
(-0.205158,0.342275)
(0.00527086,-1.17555)
(-0.063782,-1.50242)
(0.363229,-0.178003)
(0.230784,-0.0965664)
(0.278775,0.530914)
(0.201303,-0.185351)
(0.133639,0.201272)
(0.598614,0.330227)
(0.847812,0.218031)
(-0.670071,0.0443136)
(0.14924,0.125507)
(-0.572352,0.136401)
(-0.110248,0.212626)
(-0.18735,0.309253)
(0.114625,-0.272561)
(-0.405002,0.115157)
(-0.236949,0.161485)
(0.167799,-0.467726)
(-0.651857,0.135881)
(-0.760467,0.167618)
(-0.444136,0.513119)
(0.349938,0.250577)
(0.313885,0.183127)
(0.350974,-0.0727792)
(0.555635,-0.437052)
(-0.297612,-0.0423283)
(0.958203,-0.675427)
(-0.259319,-0.278584)
(0.113018,0.473586)
(0.265108,0.56248)
(-0.213686,0.0556321)
(0.946765,0.700908)
(-0.0586069,0.142273)
(0.0997725,-0.107608)
(0.289416,0.0503974)
(0.163591,-0.172504)
(0.208481,-0.175504)
(0.476369,0.216837)
(0.267256,0.0786185)
(0.145133,0.0532742)
(0.342013,0.121547)
(0.169504,-0.106926)
(0.297113,0.22455)
(0.144401,-0.268037)
(0.378359,0.0332899)
(-0.148935,0.18113)
(0.238968,0.0726499)
(0.376396,0.017993)
(-0.408135,0.029647)
(-0.406732,0.0298735)
(0.220175,0.257508)
(0.665426,0.20952)
(0.554997,0.464762)
(0.0168284,-0.121123)
(0.138791,-0.292908)
(0.445773,0.348391)
(0.0201343,-0.155502)
(-0.172442,0.0476288)
(-0.0958053,0.275821)
(0.526121,0.476965)
(-0.0804416,0.0689686)
(-0.0876319,0.0934463)
(-0.0524418,0.212733)
(-0.108446,0.0673289)
(0.343218,-0.200028)
(0.258246,-0.166267)
(0.178647,-0.266801)
(0.0349672,-0.179353)
(0.129377,-0.371895)
(-0.0137501,0.0196877)
(0.241945,-0.575145)
(-0.232693,-0.0414302)
(-0.028928,-0.307297)
(0.433848,-0.122021)
(-0.166461,-0.289126)
(-0.0470048,0.043323)
(-0.0481264,-0.0709997)
(-0.555403,0.11177)
(0.0754512,-0.155281)
(-0.00774631,0.0100423)
(-0.288888,-0.306918)
(-0.189598,0.00981138)
(-0.203856,-0.00919622)
(0.0593173,0.330975)
(0.574534,0.353651)
(-0.0893545,0.117575)
(-0.0232606,0.117379)
(0.00919823,-0.00689082)
(0.0349414,-0.562558)
(-0.336371,-0.238254)
(-0.722255,0.435358)
(0.313877,0.240775)
(-0.349115,-0.214314)
(0.449756,0.185709)
(-0.44297,0.0393469)
(-0.202248,-0.148211)
(0.344022,0.396067)
(-0.202169,-0.151722)
(-0.019108,0.567134)
(-0.11463,-0.313563)
(-0.16488,0.213326)
(0.138142,-0.386987)
(-0.211114,0.435312)
(-0.377321,-0.0709078)
(-0.123342,0.234886)
(-0.207474,-0.225649)
(-0.0123112,-0.293921)
(0.392426,0.340929)
(-0.0167036,0.0435119)
(-0.320994,0.0204392)
(0.115516,0.102879)
(-0.421795,0.355651)
(-0.17905,-0.228014)
(-0.120387,-0.115288)
(-0.172849,0.280236)
(0.450647,-0.151781)
(-0.204768,0.105073)
(-0.351733,0.609064)
(-0.0771183,0.494624)
(0.579356,-0.325883)
(0.508531,0.0131051)
(0.308643,0.186474)
(0.199815,-0.242843)
(-0.0184087,-0.510238)
(0.463359,-0.316576)
