241	3
0	0	0
0.2	0.2	0
-0.2	0.2	0
0.2	-0.2	0
-0.2	-0.2	0
0.171429	0.2	0
0.142857	0.2	0
0.114286	0.2	0
0.0857143	0.2	0
0.0571429	0.2	0
0.0285714	0.2	0
5.31297e-13	0.2	0
-0.0285714	0.2	0
-0.0571429	0.2	0
-0.0857143	0.2	0
-0.114286	0.2	0
-0.142857	0.2	0
-0.171429	0.2	0
0.171429	-0.2	0
0.142857	-0.2	0
0.114286	-0.2	0
0.0857143	-0.2	0
0.0571429	-0.2	0
0.0285714	-0.2	0
5.31297e-13	-0.2	0
-0.0285714	-0.2	0
-0.0571429	-0.2	0
-0.0857143	-0.2	0
-0.114286	-0.2	0
-0.142857	-0.2	0
-0.171429	-0.2	0
0.2	0.171429	0
0.2	0.142857	0
0.2	0.114286	0
0.2	0.0857143	0
0.2	0.0571429	0
0.2	0.0285714	0
0.2	5.31297e-13	0
0.2	-0.0285714	0
0.2	-0.0571429	0
0.2	-0.0857143	0
0.2	-0.114286	0
0.2	-0.142857	0
0.2	-0.171429	0
-0.2	0.171429	0
-0.2	0.142857	0
-0.2	0.114286	0
-0.2	0.0857143	0
-0.2	0.0571429	0
-0.2	0.0285714	0
-0.2	5.31297e-13	0
-0.2	-0.0285714	0
-0.2	-0.0571429	0
-0.2	-0.0857143	0
-0.2	-0.114286	0
-0.2	-0.142857	0
-0.2	-0.171429	0
0.0585587	0.13996	0
0.0305061	0.137285	0
0.045022	0.166227	0
-0.0629893	0.0949883	0
-0.046536	0.11792	0
-0.032249	0.089354	0
0.119872	-0.143508	0
0.129662	-0.172901	0
0.0960046	-0.169561	0
-0.0789521	0.12806	0
-0.126269	0.17589	0
-0.0952247	0.176588	0
-0.0570426	0.0327802	0
-0.0414718	0.012528	0
-0.068679	0.00257884	0
-0.0416298	-0.0084828	0
-0.172945	0.00912269	0
-0.171239	0.0394637	0
-0.109419	0.0930543	0
-0.0834484	0.0719222	0
-0.11287	0.0615761	0
-0.00653741	-0.0589997	0
0.00497207	-0.0256648	0
0.0253729	-0.0508386	0
0.0313062	-0.0253446	0
0.179388	0.180375	0
0.170679	0.153195	0
0.155051	0.177956	0
0.175813	0.0772468	0
0.18107	0.0996822	0
-0.0709537	0.179353	0
-0.0751002	0.158265	0
-0.152861	-0.170834	0
-0.122711	-0.146381	0
-0.126735	-0.176631	0
-0.10271	-0.173174	0
0.133644	0.053542	0
0.168585	0.0475137	0
0.144884	0.0250691	0
0.0148347	0.167949	0
-0.0517106	0.145123	0
-0.173072	-0.126466	0
0.0542841	-0.0427305	0
0.0606968	-0.0175299	0
0.083667	-0.0312521	0
0.0857183	0.00614452	0
-0.0379556	-0.0540319	0
-0.0259762	-0.028747	0
0.0332565	-0.149538	0
0.0531408	-0.125947	0
0.0642546	-0.15579	0
0.0600252	-0.0997594	0
0.0289173	-0.0990625	0
0.172574	-0.0740813	0
0.16962	-0.0469108	0
-0.173159	-0.0962834	0
-0.142452	-0.11365	0
-0.147375	-0.0794072	0
-0.171184	-0.0671667	0
0.150057	-0.146084	0
0.119326	0.0102234	0
0.147162	-0.00223692	0
0.113843	-0.0148531	0
0.0151212	-0.172292	0
0.044608	-0.175301	0
0.142944	-0.0301436	0
0.0198742	-0.126661	0
0.112949	-0.0455054	0
0.173679	0.0192045	0
-0.168915	0.0732927	0
0.128605	0.174106	0
0.0181612	0.0589653	0
0.00501403	0.0291494	0
-0.0146507	0.0591292	0
0.0433794	-0.0730445	0
0.17921	-0.167181	0
0.177787	-0.131652	0
0.155198	-0.178247	0
0.0512872	0.0611729	0
0.0352093	0.0865989	0
0.0709212	0.0924521	0
0.0457392	0.11207	0
3.9437e-05	0.0858164	0
0.159649	-0.117911	0
-0.0885767	0.101884	0
-0.0745651	-0.172028	0
-0.0563218	-0.147976	0
-0.0399325	-0.17334	0
-0.086773	-0.146949	0
-0.0726718	-0.125333	0
-0.145074	-0.0162349	0
-0.178655	-0.0153115	0
0.0306768	0.0338704	0
-0.0435761	-0.119832	0
-0.173503	-0.0385897	0
0.067031	-0.0736311	0
0.090696	-0.0931568	0
0.155504	0.100587	0
-0.0143029	0.00241107	0
0.136597	-0.116711	0
0.0870713	-0.138166	0
0.10771	-0.117748	0
0.0116098	0.109563	0
-0.015944	0.114255	0
0.000448778	0.136744	0
0.13076	0.0830868	0
0.125149	0.111178	0
0.148327	0.131485	0
-0.0286615	0.0329535	0
0.0867829	-0.0594689	0
0.11207	-0.0705376	0
0.0180951	0.00255267	0
0.0814456	-0.116443	0
0.103062	0.0879777	0
0.0968457	0.116073	0
0.109866	0.0667412	0
0.0848298	0.0583354	0
0.0727791	0.169108	0
0.0899124	0.142101	0
0.00608161	-0.151507	0
0.175591	0.12448	0
0.0175702	-0.0740756	0
0.0714462	-0.176229	0
-0.0018389	-0.0865359	0
-0.0959603	0.00995703	0
-0.0911868	-0.0186749	0
0.172234	-0.0147764	0
0.0711166	0.119544	0
0.00172252	-0.109056	0
0.152077	0.071819	0
0.153907	-0.0913287	0
0.124646	-0.0917004	0
-0.116103	0.0308324	0
-0.141436	0.0505297	0
-0.142702	0.0182474	0
-0.175774	-0.154685	0
-0.17262	0.153122	0
-0.140889	0.154068	0
-0.155478	0.130157	0
-0.077469	-0.0477239	0
-0.0818301	-0.0699988	0
-0.0990743	-0.0520244	0
-0.179334	-0.178102	0
-0.124235	-0.0921265	0
-0.105593	-0.116291	0
-0.0495153	0.061723	0
-0.10079	-0.0815304	0
0.141966	0.155597	0
0.116886	0.140685	0
-0.121507	-0.0627754	0
-0.067924	0.04983	0
-0.179507	0.180323	0
-0.153488	0.177066	0
-0.146106	-0.0471107	0
-0.158041	0.103078	0
-0.136929	0.0834333	0
-0.121745	0.000389686	0
-0.121663	-0.0314434	0
-0.0455555	0.170303	0
-0.0283622	0.14284	0
-0.151186	-0.140041	0
0.100587	0.170395	0
-0.0104227	-0.126269	0
0.177806	-0.101591	0
-0.0227262	-0.101913	0
-0.104232	0.120328	0
-0.0724976	-0.095966	0
-0.108204	0.150161	0
-0.0299798	-0.0761078	0
-0.057719	-0.0311849	0
0.142343	-0.0641972	0
-0.0575348	-0.0667363	0
-0.0164028	0.166685	0
-0.177079	0.123029	0
-0.180807	0.0998799	0
-0.0860039	0.0370681	0
